#######################################################
#
# Main Belt Asteroids
#
# Col 1 - Asteroid Name (str)
# Col 2 - Absolute Magnitude [H] (float)
# Col 3 - Geometric Albedo [A] (float)
#
#######################################################
"252_Clementina",9.7,0.0843
"253_Mathilde",10.3,0.0436
"254_Augusta",12.13,0.1695
"255_Oppavia",10.39,0.0374
"256_Walpurga",9.80,0.0530
"257_Silesia",9.47,0.0545
"258_Tyche",8.50,0.1676
"259_Aletheia",7.76,0.0436
"261_Prymno",9.44,0.1141
"263_Dresda",10.2,0.2263
"264_Libussa",8.42,0.2971
"265_Anna",11.9,0.1045
"266_Aline",8.80,0.0448
"267_Tirza",10.1,0.0402
"268_Adorea",8.28,0.0440
"269_Justitia",9.7,0.0974
"270_Anahita",8.75,0.2166
"271_Penthesilea",9.80,0.0633
"272_Antonia",10.6,0.1443
"273_Atropos",10.26,0.1624
"274_Philagoria",9.9,0.2282
"275_Sapientia",8.85,0.036
"276_Adelheid",8.5,0.0450
"277_Elvira",9.84,0.2770
"278_Paulina",9.3,0.2505
"280_Philia",10.9,0.0444
"281_Lucretia",12.02,0.1987
"282_Clorinde",10.91,0.0502
"283_Emma",8.72,0.0262
"284_Amalia",10.05,0.0602
"285_Regina",10.7,0.0547
"286_Iclea",8.9,0.0508
"287_Nephthys",8.30,0.1851
"288_Glauke",9.84,0.1973
"289_Nenetta",9.51,0.2438
"291_Alice",11.45,0.2075
"292_Ludovica",9.9,0.2652
"293_Brasilia",9.94,0.0615
"294_Felicia",10.1,0.0910
"295_Theresia",10.19,0.1930
"297_Caecilia",9.1,0.1796
"299_Thora",11.3,0.1673
"301_Bavaria",10.2,0.0546
"302_Clarissa",10.89,0.0524
"303_Josephina",8.8,0.0594
"304_Olga",9.74,0.0488
"305_Gordonia",8.77,0.2269
"306_Unitas",8.96,0.2112
"307_Nike",10.12,0.0524
"308_Polyxo",8.17,0.0482
"309_Fraternitas",10.6,0.0595
"310_Margarita",10.0,0.1250
"311_Claudia",10.0,0.3381
"312_Pierretta",8.89,0.1967
"313_Chaldaea",8.90,0.0524
"314_Rosalia",9.9,0.0787
"316_Goberta",10.0,0.0925
"317_Roxane",10.03,0.4928
"321_Florentina",10.0,0.2296
"322_Phaeo",9.01,0.0876
"324_Bamberga",6.82,0.0628
"326_Tamara",9.36,0.0368
"327_Columbia",10.0,0.2360
"328_Gudrun",8.8,0.0425
"329_Svea",9.6,0.0399
"331_Etheridgea",9.62,0.0447
"332_Siri",9.6,0.1719
"333_Badenia(1892_A)",9.46,0.0475
"335_Roberta(1892_C)",8.96,0.0580
"336_Lacadiera(1892_D)",9.76,0.0459
"337_Devosa(1892_E)",8.74,0.1614
"338_Budrosa(1892_F)",8.4,0.1766
"339_Dorothea(1892_G)",9.24,0.2431
"340_Eduarda(1892_H)",9.90,0.2118
"341_California(1892_J)",10.55,0.4950
"342_Endymion(1892_K)",10.22,0.0393
"343_Ostara(1892_N)",11.56,0.1151
"344_Desiderata(1892_M)",8.08,0.0592
"345_Tercidina(1892_O)",8.71,0.0654
"346_Hermentaria(1892_P)",7.13,0.2189
"347_Pariana(1892_Q)",8.96,0.1845
"348_May(1892_R)",9.40,0.0448
"349_Dembowska(1892_T)",5.93,0.3840
"350_Ornamenta(1892_U)",8.37,0.0566
"351_Yrsa(1892_V)",8.98,0.2884
"352_Gisela(1893_B)",10.01,0.4261
"354_Eleonora(1893_A)",6.44,0.1948
"355_Gabriella(1893_E)",10.1,0.2353
"356_Liguria(1893_G)",8.22,0.0528
"357_Ninina(1893_J)",8.72,0.0510
"358_Apollonia(1893_K)",9.10,0.0506
"359_Georgia(1893_M)",8.86,0.2621
"360_Carlova(1893_N)",8.48,0.0535
"364_Isara(1893_T)",9.86,0.2566
"365_Corduba(1893_V)",9.1,0.0335
"366_Vincentina(1893_W)",8.6,0.0800
"367_Amicitia(1893_AA)",10.5,0.2535
"368_Haidea(1893_AB)",9.93,0.0389
"369_Aeria(1893_AE)",8.52,0.1919
"371_Bohemia(1893_AD)",8.72,0.1924
"372_Palma(1893_AH)",7.5,0.0655
"373_Melusina(1893_AJ)",9.13,0.0429
"374_Burgundia(1893_AK)",8.67,0.3014
"376_Geometria(1893_AM)",9.49,0.2320
"377_Campania(1893_AN)",8.89,0.0592
"378_Holmia(1893_AP)",9.80,0.2971
"379_Huenna(1894_AQ)",8.87,0.0587
"380_Fiducia(1894_AR)",9.42,0.0563
"382_Dodona(1894_AT)",8.77,0.1610
"383_Janina(1894_AU)",9.91,0.0926
"384_Burdigala(1894_AV)",9.64,0.1805
"385_Ilmatar(1894_AX)",7.49,0.2129
"386_Siegena(1894_AY)",7.43,0.0692
"387_Aquitania(1894_AZ)",7.41,0.1900
"388_Charybdis(1894_BA)",8.57,0.0506
"389_Industria(1894_BB)",7.88,0.1983
"390_Alma(1894_BC)",10.39,0.2190
"392_Wilhelmina(1894_BF)",9.70,0.0589
"393_Lampetia(1894_BG)",8.39,0.0829
"394_Arduina(1894_BH)",9.66,0.2464
"395_Delia(1894_BK)",10.38,0.0479
"396_Aeolia(1894_BL)",10.0,0.1667
"397_Vienna(1894_BM)",9.31,0.1776
"398_Admete(1894_BN)",10.30,0.0607
"399_Persephone(1895_BP)",8.9,0.1838
"400_Ducrosa(1895_BU)",10.5,0.1423
"402_Chloe(1895_BW)",9.02,0.1483
"403_Cyane(1895_BX)",8.9,0.1653
"404_Arsinoe(1895_BY)",9.01,0.0461
"405_Thia(1895_BZ)",8.46,0.0468
"406_Erna(1895_CB)",10.36,0.0524
"407_Arachne(1895_CC)",8.88,0.0548
"408_Fama(1895_CD)",9.2,0.1681
"409_Aspasia(1895_CE)",7.62,0.0606
"410_Chloris(1896_CH)",8.30,0.0554
"411_Xanthe(1896_CJ)",9.2,0.0831
"412_Elisabetha(1896_CK)",9.1,0.0536
"413_Edburga(1896_CL)",10.18,0.1466
"415_Palatia(1896_CO)",9.21,0.0628
"416_Vaticana(1896_CS)",7.89,0.1689
"417_Suevia(1896_CT)",9.34,0.1960
"418_Alemannia(1896_CV)",9.77,0.1878
"419_Aurelia(1896_CW)",8.42,0.0455
"423_Diotima(1896_DB)",7.24,0.0515
"424_Gratia(1896_DF)",9.5,0.0279
"425_Cornelia(1896_DC)",9.6,0.0475
"426_Hippo(1897_DH)",8.42,0.0469
"427_Galene(1897_DJ)",10.0,0.2364
"428_Monachia(1897_DK)",11.9,0.1142
"429_Lotis(1897_DL)",9.82,0.0430
"430_Hybris(1897_DM)",11.0,0.1206
"431_Nephele(1897_DN)",8.72,0.0636
"432_Pythia(1897_DO)",8.84,0.2338
"435_Ella(1898_DS)",10.23,0.0831
"437_Rhodia(1898_DP)",10.41,0.7035
"438_Zeuxo(1898_DU)",9.80,0.0568
"439_Ohio(1898_EB)",9.83,0.0352
"441_Bathilde(1898_ED)",8.51,0.1410
"442_Eichsfeldia(1899_EE)",10.03,0.0386
"443_Photographica(1899_EF)",10.28,0.1918
"444_Gyptis(1899_EL)",7.83,0.0490
"446_Aeternitas(1899_ER)",8.90,0.2361
"447_Valentine(1899_ES)",8.99,0.0714
"448_Natalie(1899_ET)",10.30,0.0588
"449_Hamburga(1899_EU)",9.47,0.0393
